title,genres_list,vote_average,vote_count,director,overview,tags,genres_str
The Mothman Prophecies,"['Drama', 'Horror', 'Mystery']",6.1,305,Mark Pellington,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,drama horror mystery basedonnovel smalltown dream motel hallucination richardgere lauralinney willpatton markpellington markpellington markpellington reporter john klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy west virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.,"Drama, Horror, Mystery"
Brüno,['Comedy'],5.4,518,Larry Charles,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,comedy gay fame mockumentary hollywood lgbt sachabaroncohen richardbey ronpaul larrycharles larrycharles larrycharles flamboyantly gay austrian television reporter bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,Comedy
Licence to Kill,"['Adventure', 'Action', 'Thriller']",5.9,541,John Glen,James Bond and his American colleague Felix Leiter arrest the drug lord Sanchez who succeeds in escaping and takes revenge on Felix and his wife. Bond knows but just one thing: revenge.,adventure action thriller corruption florida secretidentity liberationofprisoners drugtraffic timothydalton careylowell robertdavi johnglen johnglen johnglen james bond and his american colleague felix leiter arrest the drug lord sanchez who succeeds in escaping and takes revenge on felix and his wife. bond knows but just one thing: revenge.,"Adventure, Action, Thriller"
Red Riding Hood,"['Fantasy', 'Thriller', 'Horror']",5.6,922,Catherine Hardwicke,"Valerie is in love with a brooding outsider, Peter, but her parents have arranged for her to marry another man – who is wealthy. Unwilling to lose each other, Valerie and Peter plan to run away together when they learn that Valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. Hungry for revenge, the people call on famed werewolf hunter, Father Solomon, to help them kill the wolf. But Solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.","fantasy thriller horror winter fantasy fairytale hood werewolf amandaseyfried garyoldman billyburke catherinehardwicke catherinehardwicke catherinehardwicke valerie is in love with a brooding outsider, peter, but her parents have arranged for her to marry another man – who is wealthy. unwilling to lose each other, valerie and peter plan to run away together when they learn that valerie's older sister has been killed by a werewolf that prowls the dark forest surrounding their village. hungry for revenge, the people call on famed werewolf hunter, father solomon, to help them kill the wolf. but solomon's arrival brings unintended consequences as he warns that the wolf, who takes human form by day, could be any one of them.","Fantasy, Thriller, Horror"
15 Minutes,"['Action', 'Crime', 'Thriller']",5.7,191,John Herzfeld,"When Eastern European criminals Oleg and Emil come to New York City to pick up their share of a heist score, Oleg steals a video camera and starts filming their activities, both legal and illegal. When they learn how the American media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy NYPD Homicide Detective Eddie Flemming and media-naive FDNY Fire Marshal Jordy Warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid TV show ""Top Story.""","action crime thriller newyork femalenudity prison prostitute rape robertdeniro charlizetheron edwardburns johnherzfeld johnherzfeld johnherzfeld when eastern european criminals oleg and emil come to new york city to pick up their share of a heist score, oleg steals a video camera and starts filming their activities, both legal and illegal. when they learn how the american media circus can make a remorseless killer look like the victim and make them rich, they target media-savvy nypd homicide detective eddie flemming and media-naive fdny fire marshal jordy warsaw, the cops investigating their murder and torching of their former criminal partner, filming everything to sell to the local tabloid tv show ""top story.""","Action, Crime, Thriller"
Super Mario Bros.,"['Adventure', 'Comedy', 'Family', 'Fantasy']",4.0,232,Annabel Jankel,"Mario and Luigi, plumbers from Brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. They're the only hope to save our universe from invasion by the dino dictator, Koopa.","adventure comedy family fantasy savingtheworld brotherbrotherrelationship royalty dinosaur basedonvideogame bobhoskins johnleguizamo dennishopper annabeljankel annabeljankel annabeljankel mario and luigi, plumbers from brooklyn, find themselves in an alternate universe where evolved dinosaurs live in hi-tech squalor. they're the only hope to save our universe from invasion by the dino dictator, koopa.","Adventure, Comedy, Family"
Lord of War,"['Crime', 'Drama', 'Thriller']",7.0,1335,Andrew Niccol,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.","crime drama thriller coldwar weapon armsdealer nicolascage bridgetmoynahan jaredleto andrewniccol andrewniccol andrewniccol yuri orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. finally, he must also face his own conscience.","Crime, Drama, Thriller"
Hero,"['Drama', 'Adventure', 'Action', 'History']",7.2,635,Zhang Yimou,One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.,drama adventure action history countryside lossoflover rightandjustice patriot jetli tonyleungchiu-wai maggiecheung zhangyimou zhangyimou zhangyimou one man defeated three assassins who sought to murder the most powerful warlord in pre-unified china.,"Drama, Adventure, Action"
One for the Money,"['Action', 'Comedy', 'Crime']",5.3,388,Julie Anne Robinson,"An unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. Her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. With the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.","action comedy crime bountyhunter basedonnovel romance framed bailjumper katherineheigl jasono'mara danielsunjata julieannerobinson julieannerobinson julieannerobinson an unemployed lingerie buyer convinces her bail bondsman cousin to give her a shot as a bounty hunter. her first assignment is to track down a former cop on the run for murder – the same man who broke her heart years before. with the help of some friends and the best bounty hunter in the business, she slowly learns what it takes to be a true bounty hunter.","Action, Comedy, Crime"
The Interview,"['Action', 'Comedy']",6.1,2304,Seth Rogen,"Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission.","action comedy cia coupd'etat northkorea assassinationattempt evildictator jamesfranco sethrogen lizzycaplan sethrogen sethrogen sethrogen dave skylark and his producer aaron rapoport run the celebrity tabloid show ""skylark tonight"". when they land an interview with a surprise fan, north korean dictator kim jong-un, they are recruited by the cia to turn their trip to pyongyang into an assassination mission.","Action, Comedy"
The Warrior's Way,"['Adventure', 'Fantasy', 'Action', 'Western', 'Thriller']",6.3,136,Sngmoo Lee,"An Asian assassin (Dong-gun Jang) is forced to hide in a small town in the American Badlands. Also starring Kate Bosworth, Danny Huston, Tony Cox and Academy Award winner Geoffrey Rush.","adventure fantasy action western thriller assassin smalltown forest revenge deception katebosworth jangdong-gun geoffreyrush sngmoolee sngmoolee sngmoolee an asian assassin (dong-gun jang) is forced to hide in a small town in the american badlands. also starring kate bosworth, danny huston, tony cox and academy award winner geoffrey rush.","Adventure, Fantasy, Action"
Micmacs,"['Action', 'Comedy', 'Crime']",6.8,148,Jean-Pierre Jeunet,"A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.  Avid movie-watcher and video store clerk Bazil has had his life all but ruined by weapons of war. His father was killed by a landmine in Morocco and one fateful night a stray bullet from a nearby shootout embeds itself in his skull, leaving him on the verge of instantaneous death. Losing his job and his home, Bazil wanders the streets until he meets Slammer, a pardoned convict who introduces him to a band of eccentric junkyard dealers including Calculator, a math expert and statistician, Buster, a record-holder in human cannonball feats, Tiny Pete, an artistic craftsman of automatons, and Elastic Girl, a sassy contortionist. When chance reveals to Bazil the two weapons manufacturers responsible for building the instruments of his destruction, he constructs a complex scheme for revenge that his newfound family is all too happy to help set in motion.","action comedy crime unemployment contortionist humancannonball danyboon dominiquepinon andrédussollier jean-pierrejeunet jean-pierrejeunet jean-pierrejeunet a man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers. avid movie-watcher and video store clerk bazil has had his life all but ruined by weapons of war. his father was killed by a landmine in morocco and one fateful night a stray bullet from a nearby shootout embeds itself in his skull, leaving him on the verge of instantaneous death. losing his job and his home, bazil wanders the streets until he meets slammer, a pardoned convict who introduces him to a band of eccentric junkyard dealers including calculator, a math expert and statistician, buster, a record-holder in human cannonball feats, tiny pete, an artistic craftsman of automatons, and elastic girl, a sassy contortionist. when chance reveals to bazil the two weapons manufacturers responsible for building the instruments of his destruction, he constructs a complex scheme for revenge that his newfound family is all too happy to help set in motion.","Action, Comedy, Crime"
8 Mile,['Drama'],6.8,1626,Curtis Hanson,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.","drama individual streetgang adolescence rapmusic hip-hop eminem mekhiphifer brittanymurphy curtishanson curtishanson curtishanson the setting is detroit in 1995. the city is divided by 8 mile, a road that splits the town in half along racial lines. a young white rapper, jimmy ""b-rabbit"" smith jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. with his pal future and the three one third in place, all he has to do is not choke.",Drama
Why I Did (Not) Eat My Father,"['Adventure', 'Comedy', 'Animation']",5.3,125,Jamel Debbouze,"Based on the novel 'Evolution Man' by Roy Lewis, this tells the story about the first man - young Edward - to descend from apes. Edward is ejected by his tribe, but is very resourceful. He learns to walk, discovers fire, manages to hunt - and we follow him as he evolves. He has a generous nature, and search for true humanity - a world where we don't eat our fathers.","adventure comedy animation animation evolution humanity jameldebbouze ariéelmaleh mélissatheuriau jameldebbouze jameldebbouze jameldebbouze based on the novel 'evolution man' by roy lewis, this tells the story about the first man - young edward - to descend from apes. edward is ejected by his tribe, but is very resourceful. he learns to walk, discovers fire, manages to hunt - and we follow him as he evolves. he has a generous nature, and search for true humanity - a world where we don't eat our fathers.","Adventure, Comedy, Animation"
A Knight's Tale,"['Adventure', 'Drama', 'Romance', 'Action']",6.6,907,Brian Helgeland,"William Thatcher, a peasant, is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to ""change his Stars"", he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices, he trains and assumes the title of Sir Ulrich von Lichtenstein.","adventure drama romance action poetry knight tournament duel torture heathledger rufussewell shannynsossamon brianhelgeland brianhelgeland brianhelgeland william thatcher, a peasant, is sent to apprentice with a knight named hector as a young boy. urged by his father to ""change his stars"", he assumes sir hector's place in a tournament when hector dies in the middle of it. he wins. with the other apprentices, he trains and assumes the title of sir ulrich von lichtenstein.","Adventure, Drama, Romance"
The Medallion,"['Thriller', 'Fantasy', 'Action', 'Comedy']",5.3,281,Gordon Chan,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,thriller fantasy action comedy detective medallion leatherjacket wretch fighter jackiechan leeevans claireforlani gordonchan gordonchan gordonchan a hong kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,"Thriller, Fantasy, Action"
The Sixth Sense,"['Mystery', 'Thriller', 'Drama']",7.7,3147,M. Night Shyamalan,"A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem, learning that he really can see ghosts of dead people.","mystery thriller drama childabuse senseofguilt lossofchild confidence psychology brucewillis tonicollette oliviawilliams m.nightshyamalan m.nightshyamalan m.nightshyamalan a psychological thriller about an eight year old boy named cole sear who believes he can see into the world of the dead. a child psychologist named malcolm crowe comes to cole to help him deal with his problem, learning that he really can see ghosts of dead people.","Mystery, Thriller, Drama"
Man on a Ledge,"['Action', 'Thriller', 'Crime']",6.2,925,Asger Leth,"An ex-cop turned con threatens to jump to his death from a Manhattan hotel rooftop. The NYPD dispatch a female police psychologist to talk him down. However, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.","action thriller crime deception newyorkcity rooftop diamondheist framedforacrime samworthington elizabethbanks jamiebell asgerleth asgerleth asgerleth an ex-cop turned con threatens to jump to his death from a manhattan hotel rooftop. the nypd dispatch a female police psychologist to talk him down. however, unbeknownst to the police on the scene, the suicide attempt is a cover for the biggest diamond heist ever pulled.","Action, Thriller, Crime"
The Big Year,['Comedy'],5.6,248,David Frankel,"Three fanatical bird-watchers spend an entire year competing to spot the highest number of species as El Nino sends an extraordinary variety of rare breeds flying up into the U.S., but they quickly discover that there are more important things than coming out on top of the competition","comedy helicopter basedonnovel honeymoon airplane birding owenwilson stevemartin jackblack davidfrankel davidfrankel davidfrankel three fanatical bird-watchers spend an entire year competing to spot the highest number of species as el nino sends an extraordinary variety of rare breeds flying up into the u.s., but they quickly discover that there are more important things than coming out on top of the competition",Comedy
The Karate Kid,['Drama'],6.9,891,John G. Avildsen,"Hassled by the school bullies, Daniel LaRusso has his share of adolescent woes. Luckily, his apartment building houses a resident martial arts master: Kesuke Miyagi, who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence, skill and wisdom, Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.","drama flat taskmaster karate egg kidsandfamily ralphmacchio patmorita williamzabka johng.avildsen johng.avildsen johng.avildsen hassled by the school bullies, daniel larusso has his share of adolescent woes. luckily, his apartment building houses a resident martial arts master: kesuke miyagi, who agrees to train daniel ... and ends up teaching him much more than self-defense. armed with newfound confidence, skill and wisdom, daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.",Drama
American Hustle,"['Drama', 'Crime']",6.8,2807,David O. Russell,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.","drama crime conartist scam mobster fbiagent christianbale bradleycooper amyadams davido.russell davido.russell davido.russell a con man, irving rosenfeld, along with his seductive partner sydney prosser, is forced to work for a wild fbi agent, richie dimaso, who pushes them into a world of jersey powerbrokers and mafia.","Drama, Crime"
The Proposal,"['Comedy', 'Romance', 'Drama']",6.7,1804,Anne Fletcher,"When she learns she's in danger of losing her visa status and being deported, overbearing book editor Margaret Tate forces her put-upon assistant, Andrew Paxton, to marry her.","comedy romance drama fictitiousmarriage deportation immigrationlaw romanticcomedy alaska sandrabullock ryanreynolds marysteenburgen annefletcher annefletcher annefletcher when she learns she's in danger of losing her visa status and being deported, overbearing book editor margaret tate forces her put-upon assistant, andrew paxton, to marry her.","Comedy, Romance, Drama"
Double Jeopardy,"['Crime', 'Drama', 'Mystery', 'Thriller']",6.2,278,Bruce Beresford,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.","crime drama mystery thriller prison sailboat sailingtrip neworleans women'sprison tommyleejones ashleyjudd brucegreenwood bruceberesford bruceberesford bruceberesford a woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him.","Crime, Drama, Mystery"
Back to the Future Part II,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",7.4,3829,Robert Zemeckis,"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.","adventure comedy family sciencefiction skateboarding flyingcar carrace delorean lightning michaelj.fox christopherlloyd leathompson robertzemeckis robertzemeckis robertzemeckis marty and doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some mcfly family woes in the bud. but things go awry thanks to bully biff tannen and a pesky sports almanac. in a last-ditch attempt to set things straight, marty finds himself bound for 1955 and face to face with his teenage parents -- again.","Adventure, Comedy, Family"
Lucy,"['Action', 'Science Fiction']",6.3,5878,Luc Besson,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","action sciencefiction artificialintelligence telepathy intelligence drugmule telekinesis scarlettjohansson morganfreeman choimin-sik lucbesson lucbesson lucbesson a woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","Action, Science Fiction"
Fifty Shades of Grey,"['Drama', 'Romance', 'Thriller']",5.2,3254,Sam Taylor-Johnson,"When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.","drama romance thriller basedonnovel perversion spanking billionaire bdsm dakotajohnson jamiedornan jenniferehle samtaylor-johnson samtaylor-johnson samtaylor-johnson when college senior anastasia steele steps in for her sick roommate to interview prominent businessman christian grey for their campus paper, little does she realize the path her life will take. christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to ana, and she to him. though sexually inexperienced, ana plunges headlong into an affair -- and learns that christian's true sexual proclivities push the boundaries of pain and pleasure.","Drama, Romance, Thriller"
Spy Kids 3-D: Game Over,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",4.7,511,Robert Rodriguez,"Carmen's caught in a virtual reality game designed by the Kids' new nemesis, the Toymaker. It's up to Juni to save his sister, and ultimately the world.","action adventure comedy family sciencefiction videogame intelligence liberation childhero mission antoniobanderas carlagugino alexapenavega robertrodriguez robertrodriguez robertrodriguez carmen's caught in a virtual reality game designed by the kids' new nemesis, the toymaker. it's up to juni to save his sister, and ultimately the world.","Action, Adventure, Comedy"
A Time to Kill,"['Crime', 'Drama', 'Thriller']",7.0,509,Joel Schumacher,"A young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the KKK.","crime drama thriller kukluxklan rape mississippi jurors blackmail matthewmcconaughey sandrabullock samuell.jackson joelschumacher joelschumacher joelschumacher a young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the kkk.","Crime, Drama, Thriller"
Cheaper by the Dozen,['Comedy'],6.0,699,Shawn Levy,"The Baker brood moves to Chicago after patriarch Tom gets a job coaching football at Northwestern University, forcing his writer wife, Mary, and the couple's 12 children to make a major adjustment. The transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.","comedy bigfamily newjob aspiringactor smartkid stevemartin bonniehunt piperperabo shawnlevy shawnlevy shawnlevy the baker brood moves to chicago after patriarch tom gets a job coaching football at northwestern university, forcing his writer wife, mary, and the couple's 12 children to make a major adjustment. the transition works well until work demands pull the parents away from home, leaving the kids bored -- and increasingly mischievous.",Comedy
Lone Survivor,"['Action', 'Drama', 'Thriller', 'War']",7.4,1526,Peter Berg,"Based on the failed June 28, 2005 mission ""Operation Red Wing."" Four members of SEAL Team 10, were tasked with the mission to capture or kill notorious Taliban leader, Ahmad Shah. Only one member of the team survived.","action drama thriller war war survival navyseal military dangerousmission markwahlberg taylorkitsch emilehirsch peterberg peterberg peterberg based on the failed june 28, 2005 mission ""operation red wing."" four members of seal team 10, were tasked with the mission to capture or kill notorious taliban leader, ahmad shah. only one member of the team survived.","Action, Drama, Thriller"
A League of Their Own,['Comedy'],6.7,354,Penny Marshall,"Small-town sisters Dottie and Kit join an all-female baseball league formed after World War II brings pro baseball to a standstill. When their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field.","comedy baseball worldwarii sport baseballplayer femaleathlete tomhanks geenadavis madonna pennymarshall pennymarshall pennymarshall small-town sisters dottie and kit join an all-female baseball league formed after world war ii brings pro baseball to a standstill. when their team hits the road with its drunken coach, the siblings find troubles and triumphs on and off the field.",Comedy
The Conjuring 2,['Horror'],7.0,1949,James Wan,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,horror londonengland england 1970s spirit singlemother patrickwilson verafarmiga madisonwolfe jameswan jameswan jameswan lorraine and ed warren travel to north london to help a single mother raising four children alone in a house plagued by malicious spirits.,Horror
The Social Network,['Drama'],7.1,3391,David Fincher,"On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.","drama hacker hacking creator fratparty socialnetwork jesseeisenberg andrewgarfield justintimberlake davidfincher davidfincher davidfincher on a fall night in 2003, harvard undergrad and computer programming genius mark zuckerberg sits down at his computer and heatedly begins working on a new idea. in a fury of blogging and programming, what begins in his dorm room as a small site among friends soon becomes a global social network and a revolution in communication. a mere six years and 500 million friends later, mark zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications.",Drama
He's Just Not That Into You,"['Comedy', 'Romance', 'Drama']",6.2,959,Ken Kwapis,"Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.","comedy romance drama relationship ensemblecast duringcreditsstinger benaffleck jenniferaniston drewbarrymore kenkwapis kenkwapis kenkwapis remember that really cute guy who said he'd call – and didn't? maybe he lost your number. maybe he's in the hospital. maybe he's awed by your beauty, brains or success. or maybe... he's just not that into you.","Comedy, Romance, Drama"
Scary Movie 4,['Comedy'],5.3,750,David Zucker,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them.","comedy hauntedhouse alienlife-form riesen-ipod annafaris reginahall craigbierko davidzucker davidzucker davidzucker cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. also, alien ""tr-ipods"" are invading the world and she has to uncover the secret in order to stop them.",Comedy
Scream 3,"['Horror', 'Mystery']",5.7,736,Wes Craven,"A murdering spree begins to happen again, this time its targeted toward the original Woodsboro survivors and those associated with the movie inside a movie, 'Stab 3'. Sydney must face the demons of her past to stop the killer.","horror mystery mask metaldetector filmdirector ex-cop reporter davidarquette nevecampbell courteneycox wescraven wescraven wescraven a murdering spree begins to happen again, this time its targeted toward the original woodsboro survivors and those associated with the movie inside a movie, 'stab 3'. sydney must face the demons of her past to stop the killer.","Horror, Mystery"
Back to the Future Part III,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",7.1,2900,Robert Zemeckis,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.","adventure comedy family sciencefiction railroadrobber california delorean indianterritory sportscar michaelj.fox christopherlloyd marysteenburgen robertzemeckis robertzemeckis robertzemeckis the final installment of the back to the future trilogy finds marty digging the trusty delorean out of a mineshaft and looking up doc in the wild west of 1885. but when their time machine breaks down, the travelers are stranded in a land of spurs. more problems arise when doc falls for pretty schoolteacher clara clayton, and marty tangles with buford tannen.","Adventure, Comedy, Family"
Get Hard,['Comedy'],5.9,944,Etan Cohen,"When obscenely rich hedge-fund manager James is convicted of fraud and sentenced to a stretch in San Quentin, the judge gives him one month to get his affairs in order. Knowing that he won't survive more than a few minutes in prison on his own, James desperately turns to Darnell-- a black businessman who's never even had a parking ticket -- for help. As Darnell puts James through the wringer, both learn that they were wrong about many things, including each other.","comedy prison training framed embezzlement willferrell kevinhart alisonbrie etancohen etancohen etancohen when obscenely rich hedge-fund manager james is convicted of fraud and sentenced to a stretch in san quentin, the judge gives him one month to get his affairs in order. knowing that he won't survive more than a few minutes in prison on his own, james desperately turns to darnell-- a black businessman who's never even had a parking ticket -- for help. as darnell puts james through the wringer, both learn that they were wrong about many things, including each other.",Comedy
Dracula,"['Romance', 'Horror']",7.1,1056,Francis Ford Coppola,"When Dracula leaves the captive Jonathan Harker and Transylvania for London in search of Mina Harker -- the spitting image of Dracula's long-dead wife, Elisabeta -- obsessed vampire hunter Dr. Van Helsing sets out to end the madness.","romance horror adultery maze vampire bite remake garyoldman winonaryder anthonyhopkins francisfordcoppola francisfordcoppola francisfordcoppola when dracula leaves the captive jonathan harker and transylvania for london in search of mina harker -- the spitting image of dracula's long-dead wife, elisabeta -- obsessed vampire hunter dr. van helsing sets out to end the madness.","Romance, Horror"
Julie & Julia,"['Romance', 'Drama']",6.6,560,Nora Ephron,"Julia Child and Julie Powell – both of whom wrote memoirs – find their lives intertwined. Though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.","romance drama cooking book cookbook blog recipe merylstreep amyadams stanleytucci noraephron noraephron noraephron julia child and julie powell – both of whom wrote memoirs – find their lives intertwined. though separated by time and space, both women are at loose ends... until they discover that with the right combination of passion, fearlessness and butter, anything is possible.","Romance, Drama"
42,['Drama'],6.8,787,Brian Helgeland,"The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.","drama baseball biography sport brooklyndodgers chadwickboseman t.r.knight harrisonford brianhelgeland brianhelgeland brianhelgeland the powerful story of jackie robinson, the legendary baseball player who broke major league baseball’s color barrier when he joined the roster of the brooklyn dodgers. the film follows the innovative dodgers’ general manager branch rickey, the mlb executive who first signed robinson to the minors and then helped to bring him up to the show.",Drama
The Talented Mr. Ripley,"['Thriller', 'Crime', 'Drama']",7.0,767,Anthony Minghella,"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.","thriller crime drama venice italy gay newyork lovesickness mattdamon gwynethpaltrow judelaw anthonyminghella anthonyminghella anthonyminghella tom ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. opportunity knocks in the form of a wealthy u.s. shipbuilder who hires tom to travel to italy to bring back his playboy son, dickie. ripley worms his way into the idyllic lives of dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder.","Thriller, Crime, Drama"
Dumb and Dumber To,['Comedy'],5.4,1127,Bobby Farrelly,"20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.","comedy friendship sequel roadmovie buddycomedy jimcarrey jeffdaniels rachelmelvin bobbyfarrelly bobbyfarrelly bobbyfarrelly 20 years after the dimwits set out on their first adventure, they head out in search of one of their long lost children in the hope of gaining a new kidney.",Comedy
Eight Below,"['Adventure', 'Drama', 'Family']",6.7,542,Frank Marshall,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.","adventure drama family expedition pilot survival sleddogs seal paulwalker brucegreenwood moonbloodgood frankmarshall frankmarshall frankmarshall in the antarctic, after an expedition with dr. davis mcclaren, the sled dog trainer jerry shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. he ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. for six months, jerry tries to find a sponsor for a rescue mission.","Adventure, Drama, Family"
The Intern,['Comedy'],7.1,1881,Nancy Meyers,"70-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","comedy intern womandirector robertdeniro annehathaway renerusso nancymeyers nancymeyers nancymeyers 70-year-old widower ben whittaker has discovered that retirement isn't all it's cracked up to be. seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by jules ostin.",Comedy
